Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/query,7164,0,310.0,330.4561927707204,9.151000063866377,1576.9167998805642,7567.1173925181465,246.21411192596898,0.0,310,350,410,440,570,700,840,970,1400,1600,1600
,Aggregated,7164,0,310.0,330.4561927707204,9.151000063866377,1576.9167998805642,7567.1173925181465,246.21411192596898,0.0,310,350,410,440,570,700,840,970,1400,1600,1600
