Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/query,4754,0,640.0,607.995813356473,6.8644999992102385,2259.700199821964,7482.413336137989,163.4950296037144,0.0,640,680,700,720,750,790,820,830,1500,2300,2300
,Aggregated,4754,0,640.0,607.995813356473,6.8644999992102385,2259.700199821964,7482.413336137989,163.4950296037144,0.0,640,680,700,720,750,790,820,830,1500,2300,2300
